sale_id,product_id,store_id,date,units_sold,is_promotion,promo_type,uk_event
1,SAI-D001,SBY-LON-001,2024-10-01,97.26,0,None,Normal
2,SAI-D001,SBY-LON-001,2024-10-02,86.65,0,None,Normal
3,SAI-D001,SBY-LON-001,2024-10-03,75.36,0,None,Normal
4,SAI-D001,SBY-LON-001,2024-10-04,90.96,0,None,Normal
5,SAI-D001,SBY-LON-001,2024-10-05,123.77,0,None,Normal
6,SAI-D001,SBY-LON-001,2024-10-06,123.3,0,None,Normal
7,SAI-D001,SBY-LON-001,2024-10-07,38.18,0,None,Normal
8,SAI-D001,SBY-LON-001,2024-10-08,56.96,0,None,Normal
9,SAI-D001,SBY-LON-001,2024-10-09,82.83,0,None,Normal
10,SAI-D001,SBY-LON-001,2024-10-10,79.64,0,None,Normal
11,SAI-D001,SBY-LON-001,2024-10-11,111.23,0,None,Normal
12,SAI-D001,SBY-LON-001,2024-10-12,137.31,0,None,Normal
13,SAI-D001,SBY-LON-001,2024-10-13,74.45,0,None,Normal
14,SAI-D001,SBY-LON-001,2024-10-14,68.64,0,None,Normal
15,SAI-D001,SBY-LON-001,2024-10-15,90.88,0,None,Normal
16,SAI-D001,SBY-LON-001,2024-10-16,88.37,0,None,Normal
17,SAI-D001,SBY-LON-001,2024-10-17,72.33,0,None,Normal
18,SAI-D001,SBY-LON-001,2024-10-18,89.3,0,None,Normal
19,SAI-D001,SBY-LON-001,2024-10-19,124.3,0,None,Normal
20,SAI-D001,SBY-LON-001,2024-10-20,87.93,0,None,Normal
21,SAI-D001,SBY-LON-001,2024-10-21,74.96,0,None,Normal
22,SAI-D001,SBY-LON-001,2024-10-22,93.77,0,None,Normal
23,SAI-D001,SBY-LON-001,2024-10-23,56.0,0,None,Normal
24,SAI-D001,SBY-LON-001,2024-10-24,57.43,0,None,Normal
25,SAI-D001,SBY-LON-001,2024-10-25,110.18,0,None,Normal
26,SAI-D001,SBY-LON-001,2024-10-26,89.36,0,None,Normal
27,SAI-D001,SBY-LON-001,2024-10-27,95.28,0,None,Normal
28,SAI-D001,SBY-LON-001,2024-10-28,52.29,0,None,Normal
29,SAI-D001,SBY-LON-001,2024-10-29,70.07,0,None,Normal
30,SAI-D001,SBY-LON-001,2024-10-30,85.31,0,None,Normal
31,SAI-D001,SBY-LON-001,2024-10-31,131.85,0,None,Halloween
32,SAI-D001,SBY-LON-001,2024-11-01,140.24,0,None,Halloween
33,SAI-D001,SBY-LON-001,2024-11-02,86.78,0,None,Normal
34,SAI-D001,SBY-LON-001,2024-11-03,103.54,0,None,Normal
35,SAI-D001,SBY-LON-001,2024-11-04,69.68,0,None,Normal
36,SAI-D001,SBY-LON-001,2024-11-05,104.54,0,None,Bonfire Night
37,SAI-D001,SBY-LON-001,2024-11-06,101.49,0,None,Normal
38,SAI-D001,SBY-LON-001,2024-11-07,91.09,0,None,Normal
39,SAI-D001,SBY-LON-001,2024-11-08,100.32,0,None,Normal
40,SAI-D001,SBY-LON-001,2024-11-09,120.64,0,None,Normal
41,SAI-D001,SBY-LON-001,2024-11-10,131.77,0,None,Normal
42,SAI-D001,SBY-LON-001,2024-11-11,79.56,0,None,Normal
43,SAI-D001,SBY-LON-001,2024-11-12,91.03,0,None,Normal
44,SAI-D001,SBY-LON-001,2024-11-13,78.21,0,None,Normal
45,SAI-D001,SBY-LON-001,2024-11-14,86.58,0,None,Normal
46,SAI-D001,SBY-LON-001,2024-11-15,96.73,0,None,Normal
47,SAI-D001,SBY-LON-001,2024-11-16,133.89,0,None,Normal
48,SAI-D001,SBY-LON-001,2024-11-17,113.28,0,None,Normal
49,SAI-D001,SBY-LON-001,2024-11-18,60.61,0,None,Normal
50,SAI-D001,SBY-LON-001,2024-11-19,66.29,0,None,Normal
51,SAI-D001,SBY-LON-001,2024-11-20,78.46,0,None,Normal
52,SAI-D001,SBY-LON-001,2024-11-21,128.63,1,Nectar Price,Normal
53,SAI-D001,SBY-LON-001,2024-11-22,136.45,0,None,Normal
54,SAI-D001,SBY-LON-001,2024-11-23,195.92,1,Nectar Price,Normal
55,SAI-D001,SBY-LON-001,2024-11-24,101.31,0,None,Normal
56,SAI-D001,SBY-LON-001,2024-11-25,159.67,1,Nectar Price,Normal
57,SAI-D001,SBY-LON-001,2024-11-26,100.04,0,None,Normal
58,SAI-D001,SBY-LON-001,2024-11-27,84.42,0,None,Normal
59,SAI-D001,SBY-LON-001,2024-11-28,101.75,0,None,Normal
60,SAI-D001,SBY-LON-001,2024-11-29,129.48,0,None,Black Friday
61,SAI-D001,SBY-LON-001,2024-11-30,215.58,0,None,Black Friday
62,SAI-D001,SBY-LON-001,2024-12-01,147.68,0,None,Cyber Monday
63,SAI-D001,SBY-LON-001,2024-12-02,105.9,0,None,Normal
64,SAI-D001,SBY-LON-001,2024-12-03,76.71,0,None,Normal
65,SAI-D001,SBY-LON-001,2024-12-04,116.04,0,None,Normal
66,SAI-D001,SBY-LON-001,2024-12-05,179.84,1,Nectar Price,Normal
67,SAI-D001,SBY-LON-001,2024-12-06,133.1,1,Nectar Price,Normal
68,SAI-D001,SBY-LON-001,2024-12-07,148.55,0,None,Normal
69,SAI-D001,SBY-LON-001,2024-12-08,128.74,0,None,Normal
70,SAI-D001,SBY-LON-001,2024-12-09,109.8,0,None,Normal
71,SAI-D001,SBY-LON-001,2024-12-10,75.85,0,None,Normal
72,SAI-D001,SBY-LON-001,2024-12-11,144.16,0,None,Normal
73,SAI-D001,SBY-LON-001,2024-12-12,189.3,1,Nectar Price,Normal
74,SAI-D001,SBY-LON-001,2024-12-13,123.76,0,None,Normal
75,SAI-D001,SBY-LON-001,2024-12-14,124.4,0,None,Normal
76,SAI-D001,SBY-LON-001,2024-12-15,168.7,0,None,Normal
77,SAI-D001,SBY-LON-001,2024-12-16,130.22,0,None,Normal
78,SAI-D001,SBY-LON-001,2024-12-17,80.4,0,None,Normal
79,SAI-D001,SBY-LON-001,2024-12-18,97.3,0,None,Normal
80,SAI-D001,SBY-LON-001,2024-12-19,127.85,0,None,Normal
81,SAI-D001,SBY-LON-001,2024-12-20,256.62,0,None,Christmas Rush
82,SAI-D001,SBY-LON-001,2024-12-21,254.8,0,None,Christmas Rush
83,SAI-D001,SBY-LON-001,2024-12-22,328.24,0,None,Christmas Rush
84,SAI-D001,SBY-LON-001,2024-12-23,298.21,0,None,Christmas Rush
85,SAI-D001,SBY-LON-001,2024-12-24,579.38,0,None,Christmas Eve
86,SAI-D001,SBY-LON-001,2024-12-25,258.32,0,None,Normal
87,SAI-D001,SBY-LON-001,2024-12-26,235.45,0,None,Boxing Day
88,SAI-D001,SBY-LON-001,2024-12-27,186.31,0,None,Post Christmas
89,SAI-D001,SBY-LON-001,2024-12-28,171.26,0,None,Post Christmas
90,SAI-D001,SBY-LON-001,2024-12-29,189.62,0,None,Post Christmas
91,SAI-D001,SBY-LON-001,2024-12-30,92.8,0,None,Normal
92,SAI-D001,SBY-LON-001,2024-12-31,149.93,0,None,Normal
93,SAI-D002,SBY-LON-001,2024-10-01,50.47,0,None,Normal
94,SAI-D002,SBY-LON-001,2024-10-02,66.69,0,None,Normal
95,SAI-D002,SBY-LON-001,2024-10-03,80.62,0,None,Normal
96,SAI-D002,SBY-LON-001,2024-10-04,70.8,0,None,Normal
97,SAI-D002,SBY-LON-001,2024-10-05,105.23,1,Nectar Price,Normal
98,SAI-D002,SBY-LON-001,2024-10-06,67.32,0,None,Normal
99,SAI-D002,SBY-LON-001,2024-10-07,50.42,0,None,Normal
100,SAI-D002,SBY-LON-001,2024-10-08,55.55,0,None,Normal
101,SAI-D002,SBY-LON-001,2024-10-09,63.99,0,None,Normal
102,SAI-D002,SBY-LON-001,2024-10-10,65.6,0,None,Normal
103,SAI-D002,SBY-LON-001,2024-10-11,86.56,0,None,Normal
104,SAI-D002,SBY-LON-001,2024-10-12,94.91,0,None,Normal
105,SAI-D002,SBY-LON-001,2024-10-13,59.65,0,None,Normal
106,SAI-D002,SBY-LON-001,2024-10-14,71.58,0,None,Normal
107,SAI-D002,SBY-LON-001,2024-10-15,53.78,0,None,Normal
108,SAI-D002,SBY-LON-001,2024-10-16,44.49,0,None,Normal
109,SAI-D002,SBY-LON-001,2024-10-17,69.05,0,None,Normal
110,SAI-D002,SBY-LON-001,2024-10-18,74.99,0,None,Normal
111,SAI-D002,SBY-LON-001,2024-10-19,77.74,0,None,Normal
112,SAI-D002,SBY-LON-001,2024-10-20,76.37,0,None,Normal
113,SAI-D002,SBY-LON-001,2024-10-21,69.34,0,None,Normal
114,SAI-D002,SBY-LON-001,2024-10-22,61.37,0,None,Normal
115,SAI-D002,SBY-LON-001,2024-10-23,61.04,0,None,Normal
116,SAI-D002,SBY-LON-001,2024-10-24,66.92,0,None,Normal
117,SAI-D002,SBY-LON-001,2024-10-25,58.89,0,None,Normal
118,SAI-D002,SBY-LON-001,2024-10-26,88.78,0,None,Normal
119,SAI-D002,SBY-LON-001,2024-10-27,80.26,0,None,Normal
