product_id,product_name,category,tier,unit_price,base_demand,reorder_point,lead_time_days
SAI-D001,Sainsbury's British Whole Milk 6 Pints,Dairy & Eggs,Sainsbury's,1.45,85,60,1
SAI-D002,Sainsbury's Semi-Skimmed Milk 4 Pints,Dairy & Eggs,Sainsbury's,1.1,70,50,1
SAI-D003,Sainsbury's Skimmed Milk 2 Pints,Dairy & Eggs,Sainsbury's,0.8,40,30,1
SAI-D004,Sainsbury's Large Free Range Eggs 12pk,Dairy & Eggs,Sainsbury's,3.25,55,40,1
SAI-D005,Taste the Difference Burford Brown Eggs 6pk,Dairy & Eggs,Taste the Difference,3.75,22,15,2
SAI-D006,Sainsbury's Salted Butter 250g,Dairy & Eggs,Sainsbury's,1.6,38,28,2
SAI-D007,Taste the Difference Normandy Butter 250g,Dairy & Eggs,Taste the Difference,2.2,18,12,2
SAI-D008,Sainsbury's Mature Cheddar 400g,Dairy & Eggs,Sainsbury's,3.5,45,32,3
SAI-D009,Taste the Difference West Country Cheddar 300g,Dairy & Eggs,Taste the Difference,4.0,20,14,3
SAI-D010,Sainsbury's Greek Style Yogurt 500g,Dairy & Eggs,Sainsbury's,1.5,30,22,2
SAI-B001,Sainsbury's Medium Sliced White Bread 800g,Fresh Bakery,Sainsbury's,1.1,90,70,1
SAI-B002,Sainsbury's Wholemeal Bread 800g,Fresh Bakery,Sainsbury's,1.2,55,42,1
SAI-B003,Taste the Difference Sourdough Loaf 400g,Fresh Bakery,Taste the Difference,2.75,30,22,1
SAI-B004,Sainsbury's Croissants 4pk,Fresh Bakery,Sainsbury's,1.4,40,30,1
SAI-B005,Taste the Difference All Butter Croissants 4pk,Fresh Bakery,Taste the Difference,2.5,25,18,1
SAI-B006,Sainsbury's Bagels 5pk,Fresh Bakery,Sainsbury's,1.3,28,20,1
SAI-B007,Sainsbury's Hot Cross Buns 6pk,Fresh Bakery,Sainsbury's,1.25,35,25,1
SAI-M001,Sainsbury's British Chicken Breast Fillets 600g,Meat & Fish,Sainsbury's,4.5,52,38,2
SAI-M002,Taste the Difference Corn Fed Chicken 1.5kg,Meat & Fish,Taste the Difference,7.0,18,12,2
SAI-M003,Sainsbury's British Beef Mince 500g (20% fat),Meat & Fish,Sainsbury's,3.75,45,32,2
SAI-M004,Taste the Difference Scottish Beef Mince 500g,Meat & Fish,Taste the Difference,5.0,20,14,2
SAI-M005,Sainsbury's Pork Sausages 8pk 454g,Meat & Fish,Sainsbury's,2.5,40,28,2
SAI-M006,Taste the Difference Cumberland Sausages 400g,Meat & Fish,Taste the Difference,3.5,22,15,2
